Data Export - Filters applied:    (none) Data As Of FEB 2024,,,,,,,,,,,,,,,
Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Postal Code,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Country/Region
PT KMK Global Sports / K1,FINISHED GOODS,Footwear,Nike,,KMK,Cikupa Mas Industrial Estate and Warehouse,Tangerang,Banten,15710,S ASIA,9659,7864,85,0,Indonesia
"JOV GARMENT ACCESSORIAL MATERIAL CO., LTD",MATERIALS,Apparel,Nike,,JOV GARMENT ACCESSORIAL MATERIAL,No 226 Pengfeng Road Dakun Industrial Zone,Songjiang,Shanghai,201600,N ASIA,117,66,46,0,China
"Kunshan Sabrina Clothes Making Co., Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,SABRINA,No 31 Kongxiang East Road,Kunshan,Jiangsu,215331,N ASIA,860,751,90,0,China
HONSIN APPAREL SDN. BHD.,FINISHED GOODS,Apparel,Nike,,HONSIN,531 BATU 2 1 2,BATU PAHAT,Johor,83000,S ASIA,916,840,24,83,Malaysia
MAS KREEDA Balangoda ,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Weligepola Road,Balangoda,Ratnapura,70100,S ASIA,1170,1075,90,0,Sri Lanka
Bodyline (Private) Limited BPL II,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Kalawellawa Road,Agalawatta,Kalutara,12200,S ASIA,1911,1794,85,0,Sri Lanka
"Da Luen (Vietnam) Co., Ltd.",MATERIALS,Apparel,Nike,,MEN CHUEN,7A Road Nhon Trach II Industrial Zone,Dong Nai,Ðng Nai,810000,SE ASIA,255,82,36,37,Vietnam
Dewhirst Cambodia,FINISHED GOODS,Apparel,Nike,,CASTLECRAFTS,Tuorl Pongror Village,Phnom Penh,Kandaal,12101,SE ASIA,2277,2056,72,1,Cambodia
Jade Textile Egypt,FINISHED GOODS,Apparel,Nike,,YESIM,A 6 Zone 103 and 104,10th of Ramadan City,Ash Sharqiyah,12451,EMEA,3323,2489,29,12,Egypt
"Zhuji Hengtai Knitting & Textile Co., Ltd.",FINISHED GOODS,Apparel,Nike,,DELTA,No 10 Tianyuan West Road,Zhuji,Zhejiang,311812,N ASIA,149,128,59,0,China
EAGLE NICE JINGMEN GARMENTS CO LTD,FINISHED GOODS,Apparel,Nike,,EAGLE NICE,N0 3 of Fenghuang Road,Jingmen,Hubei,43100,N ASIA,775,617,85,0,China
PT SELALU CINTA INDONESIA,FINISHED GOODS,Footwear,Converse,,KMK,JL LINGKAR SELATAN SALATIGA DUSUN TETEP,SALATIGA,Jawa Tengah,50735,S ASIA,13988,11601,84,0,Indonesia
W.S. Calcados Ltda.,FINISHED GOODS,Footwear,Converse,,W.S CALCADOS,"Rua Vicente Prieto, 8121",Nova Petropolis,Rio Grande do Sul,95150-000,AMERICAS,82,75,80,0,Brazil
PT. GREENTEX INDONESIA UTAMA II,FINISHED GOODS,Apparel,Nike,,PT.GREENTEX,Jalan Raya Banjaran KM 16 Koma 5 Desa Batu Karut,Kab. Bandung,Jawa Barat,40379,S ASIA,1690,1640,77,0,Indonesia
Sidney Apparels LLC,FINISHED GOODS,Apparel,Nike,,QUANG VIET,PLOT 909 and 910 Lot 25,Aqaba,AlAqaba,77110,EMEA,1373,1152,53,93,Jordan
"E-Top (Vietnam) Co.,Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,ECLAT,Lot IX1  IX2  IX3  IX4,Ba Ria-Vung Tau,Bà Ra - Vung Tàu,790000,SE ASIA,2796,2622,97,0,Vietnam
Delta Alfa Corap Ve Tekstil Sanayi Tic Ltd Sti,FINISHED GOODS,Equipment,Nike,Collegiate,DELTA,Topcular Mah 623 sok No1 Cilimli Duzce,Duzce,Düzce,81750,EMEA,729,444,62,0,Turkey
DESTRO PAOLO SPA,FINISHED GOODS,Apparel,Nike,,DESTRO,Viale dell Artigianato 11,PD,Padova,35010,EMEA,145,120,35,8,Italy
Zhuji Hengan Socks Co Ltd,FINISHED GOODS,Apparel,Nike,,HENGTAI,No 8 Tianyuan West Road Datang Street,zhuji,Zhejiang,311800,N ASIA,93,73,50,0,China
"FREETREND INDUSTRIAL (VIETNAM) CO., LTD",FINISHED GOODS,Footwear,Nike,Collegiate,DEAN SHOES,Saigon Linh Trung,Thu Duc,Ho Chi Minh,71314,SE ASIA,15256,12565,85,0,Vietnam
Hi-Tech Apparel Co. Ltd.,FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,328 Prachauthit Rd  Thoongkru,Bangkok,Bangkok,10140,SE ASIA,1264,781,75,42,Thailand
"Qingdao Licheng Health Technology Co., Ltd.",FINISHED GOODS,Equipment,Nike,,QINGDAO LICHENG,No 60 Huashuo Road LanGu High tech Industrial Development,Qingdao,Shandong,266200,N ASIA,28,20,19,0,China
NINGBO SHENZHOU KNITTING CO. LTD. (PRINTING MILL & MC),FINISHED GOODS,Apparel,Nike,Collegiate,SHENZHOU,NO 636 Fuchunjiang Road,Ningbo,Zhejiang,315800,N ASIA,613,551,49,0,China
ISA INDUSTRIAL CO LTD (HESHAN) (CHINA),MATERIALS,Footwear,Nike,,ISA,No  1 Xingli Road Hecheng Town,Heshan,Guangdong,529727,N ASIA,538,448,45,3,China
"Robinson Manufacturing Company, Dayton",FINISHED GOODS,Apparel,Nike,Collegiate,ROBINSON,1184 Broadway,Dayton,Tennessee,37321,AMERICAS,58,53,77,0,USA
INJEXTECH INC.,FINISHED GOODS,Equipment,Nike,,TAROKO INTERNATIONAL,No 407 Ben Tien Road Sec 2 An Nan District,Tainan,Tainan,709035,N ASIA,140,120,48,26,Taiwan
"DONGJIN TEXTILE VINA Co., Ltd ",MATERIALS,Footwear,Nike,,DONGJIN,Lot D 8 1 Road No 2,Dong Nai Province,Ðng Nai,76000,SE ASIA,440,379,27,5,Vietnam
Dah Jeng Embroidery,FINISHED GOODS - COMPONENTS,Apparel,Nike,,EMBLEM SOURCE,No 68 Jiuqiong Street Luzhou District,New Taipei City,New Taipei,24750,N ASIA,87,53,87,51,Taiwan
PAIHO (VIETNAM),MATERIALS,Footwear,Nike,,PAIHO GROUP,Lot 30 32 34 No3 Road Tan Tao Industrial Park,Ho Chi Minh City,Ho Chi Minh,71909,SE ASIA,3097,2481,53,2,Vietnam
Tower Garments (London) Ltd,FINISHED GOODS,Apparel,Nike,,TOWER GARMENTS,Unit J 17 Queensway Enfield,ENFIELD,London-- City of,EN3 4SA,EMEA,90,90,60,0,United Kingdom
RIETVELD SERIGRAFIE BV,FINISHED GOODS,Apparel,Nike,,RIETVELD,INDUSTRIEWEG 50  2382 NW,Zoeterwoude Rijndijk,Zuid-Holland,2382NW,EMEA,31,23,42,61,Netherlands
PRIME ASIA (CHINA),MATERIALS,Footwear,Nike,,PRIME ASIA,YUE YUEN INDUSTRIAL PARK,"Dongguan,Guangdong",Guangdong,511700,N ASIA,878,588,37,0,China
Staples Promotional Products,FINISHED GOODS,Apparel,Nike,Collegiate,STAPLES CONTRACT AND COMMERCIAL,710 S Hwy 143,Marcus,Iowa,51035,AMERICAS,68,63,85,0,USA
ChangShin Inc.,FINISHED GOODS,Footwear,Nike,,CHANGSHIN,"242, Jangpyeong-ro, Saha-gu, Busan, Korea",Busan,Busan Gwangyeogsi,604-030,N ASIA,995,321,52,0,South Korea
"Yantai NE Apparel CO.,LTD",FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,No 26 Haiyang Yantai Economic Development Zone,Yantai,Shandong,265100,N ASIA,757,604,93,0,China
Beijing Our Clothing and Apparel Ltd,FINISHED GOODS,Apparel,Nike,,BEIJING CLOTHING,XiQu YiHao,BeiJing,Beijing,100024,N ASIA,5,4,1,0,China
BAIKSAN (VIETNAM),MATERIALS,Footwear,Nike,,BAIKSAN,NO 50 ROAD 3 VSIP II HOA PHU PRECINCT,Binh Duong,Bình Duong,840000,SE ASIA,343,329,11,0,Vietnam
Evergreen Apparel Mfg.,FINISHED GOODS,Apparel,Nike,,YY & ASSOCIATES,845 NE Century Blvd,Hillsboro,Oregon,97127,AMERICAS,21,16,75,0,USA
"FORMOSA TAFFETA DONG NAI CO., LTD.",MATERIALS,Apparel,Nike,,FORMOSA TAFFETA,Nhon Trach 3 Ind Zone Hiep Phuoc Town,Nhon Trach District,Ðng Nai,71000,SE ASIA,1116,974,53,6,Vietnam
SFO Apparel Inc. (Sewing & Cutting),FINISHED GOODS,Apparel,Nike,,SFO APPAREL,41 Park Place,Brisbane,California,94005,AMERICAS,60,51,90,0,USA
YKK Taiwan Chung Li 2nd Factory,MATERIALS,Footwear,Nike,,YKK,No 12 CHI LIN NORTH ROAD CHUNG LI,Taoyuan,Taoyuan,32062,N ASIA,2,1,1,0,Taiwan
"Longhui Stella Footwear Co., Ltd",FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,STELLA,South east Industrial Park,Shaoyang City,Hunan,422200,N ASIA,730,641,89,0,China
WILL DER,FINISHED GOODS,Apparel,Converse,,DER WILL,Suipacha 924,Capital Federal,Buenos Aires,1008,AMERICAS,135,101,75,18,Argentina
Huaian Yuangtong Headwear Mfg Co Ltd,FINISHED GOODS,Apparel,Nike,Collegiate,ASIAN SOURCING HEADWEAR,NO 30 YAN HUANG AVENUE,HUAI AN,Jiangsu,223400,N ASIA,698,562,82,0,China
BODYLINE PVT LIMITED,FINISHED GOODS,Apparel,Nike,Collegiate,MAS HOLDINGS,RATNAPURA ROAD,HORANA,Kalutara,12400,S ASIA,5552,4782,83,0,Sri Lanka
BUSINESS LOCATION IN VUNG LIEM - TY XUAN COMPANY LIMITED,FINISHED GOODS,Footwear,Converse,,LAI YIH,TO 7 AP AN DIEN,VUNG LIEM DISTRICT,Vinh Long,85715,SE ASIA,1879,1742,78,0,Vietnam
Milteks Tekstil Sanayi ve Ticaret A S,FINISHED GOODS,Apparel,Nike,,MILTEKS,Bakir ve Pirinc Sanayicileri Sitesi,Istanbul,Istanbul,34520,EMEA,167,68,43,0,Turkey
FITA TEKSTIL KONF.LTD.STI,FINISHED GOODS,Apparel,Nike,,YESIM,PANAYIR MAH  6 SELVILI SK,Bursa,Bursa,16100,EMEA,343,319,88,0,Turkey
PT. CHING LUH INDONESIA,FINISHED GOODS,Footwear,Nike,,CHING LUH,JL. Raya Serang Km.16,Cikupa,Jawa Barat,15710,S ASIA,9327,8497,77,0,Indonesia
"G&G Outfitters, Inc.",FINISHED GOODS,Apparel,Nike,Collegiate,G AND G OUTFITTERS,4901 Forbes Blvd,Lanham,Maryland,20706,AMERICAS,282,201,71,0,USA
"Xiamen Expanding Industrial Co., Ltd",FINISHED GOODS,Apparel,Nike,,HADDAD,NO 21 Siming Park Tongan Industrial Concentration Zone,Xiamen,Fujian,361000,N ASIA,85,76,57,0,China
"Zhijie Footwear Technical Service (Zhongshan) CO.,Ltd",FINISHED GOODS,Footwear,Converse,,HUALI,1 F 2 and 2 5 F of Building B and 1 F of Building D,Zhongshan,Guangdong,528451,N ASIA,503,208,76,0,China
"ZHANGJIAJIE EXCELLENCE SPORT PRODUCTS CO., LTD.",FINISHED GOODS,Equipment,Nike,Collegiate,ALPUS,Building NO1 2 3 Qilonggang Industrial Zone,Zhangjiajie,Hunan,427200,N ASIA,253,203,78,0,China
Style Textile IV,FINISHED GOODS,Apparel,Nike,Collegiate,STYLE TEXTILE,25 km Multan Road,Lahore,Punjab,54500,S ASIA,3513,3214,17,0,Pakistan
VINH LONG FOOTWEAR CO LTD,FINISHED GOODS,Footwear,Converse,,LAI YIH,HOA PHU INDUSTRIAL ZONE,VINH LONG PROVINCE,Vinh Long,890000,SE ASIA,9181,7437,72,0,Vietnam
PT PAXAR INDONESIA (AVERY DENNISON GROUP),MATERIALS,Footwear,Nike,,AVERY DENNISON,Jalan Inti1  Blok C1 No 14,Bekasi,Jawa Barat,17550,S ASIA,488,350,20,0,Indonesia
"FOREVER FUG GARMENT CO., LTD.",FINISHED GOODS,Apparel,Nike,,FOREVER FUG,Lot BRoad127TbongAngVillage,Cambodia,Kampong Spueu,050306,SE ASIA,830,783,90,2,Cambodia
CONG TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,"27 Mac Van Thanh street, Ward 3",Go Cong,Tin Giang,084,SE ASIA,1481,1257,85,0,Vietnam
"KITAI CO., LTD",FINISHED GOODS,Apparel,Nike,,KITAI,32 taka,kashiba,Nara,639-0241,N ASIA,71,58,65,2,Japan
Ramatex Printing Garment (Suzhou) Ltd,MATERIALS,Apparel,Nike,,RAMATEX,168 Liufeng Road,Suzhou,Jiangsu,215124,N ASIA,570,495,35,0,China
PT.WONEEL MIDAS LEATHERS,FINISHED GOODS,Equipment,Nike,,PT. WONEEL MIDAS LEATHERS,Bangunsari Rt04 Rw03 Candirejo Semin,Gunung kidul,Yogyakarta,55854,S ASIA,1189,1057,74,0,Indonesia
DAERIM TEXTILE CO LTD (KOREA),MATERIALS,Footwear,Nike,,DAERIM TEXTILE,14 NOKSANSANDAN 382 RO 14BEON GIL,Busan,Busan Gwangyeogsi,46757,N ASIA,75,55,21,15,South Korea
"Taichung Shuihing Label Weaving Co., Ltd.",FINISHED GOODS - COMPONENTS,Apparel,Nike,Collegiate,AVERY DENNISON,6 1 Gong 2nd Rd Dajia Taichung 43769 Taiwan ROC,Taichung,Taichung,43769,N ASIA,74,58,78,24,Taiwan
PT Tong Hong Tannery,MATERIALS,Footwear,Nike,,TONG HONG,KAWASAN INDUSTRI MODERN CIKANDE,Kabupaten Serang,Banten,42186,S ASIA,287,237,45,3,Indonesia
"Yuan Ling Knitting Industrial CO., LTD.",MATERIALS,Footwear,Nike,,YUAN LING,202 ChangLu Road,Changhua City,Changhua,50083,N ASIA,213,96,21,61,Taiwan
"Fashion Garments 2 Co., Ltd - Xuan Tay",FINISHED GOODS,Apparel,Nike,,HIRDARAMANI,"Hamlet 1, Xuan Tay Commune, Cam My District, Dong Nai Pro",Cam My District,Ðng Nai,810000,SE ASIA,686,598,89,0,Vietnam
"Vung Tau Orient Co., Ltd - unit 02",FINISHED GOODS,Equipment,Nike,Collegiate,FENG TAY,Chau Duc Industrial zone Ba Ria Vung Tau Province,Chau Duc District,Bà Ra - Vung Tàu,78000,SE ASIA,2683,2610,73,0,Vietnam
NICE APPAREL COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,369 Moo 4 Manjakiri Road Muang Khonkaen,Khonkaen,Khon Kaen,40000,SE ASIA,1045,700,68,0,Thailand
PT Chang Shin Indonesia,FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Jl Ir H Juanda No 008,Karawang,Jawa Barat,41374,S ASIA,2296,2057,78,0,Indonesia
Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory,FINISHED GOODS,Apparel,Nike,,THUAN PHUONG,Hamlet 3 Long Cang Commune Can Duoc Dist Long An Province,Can Duoc,Long An,850000,SE ASIA,2334,2094,62,0,Vietnam
"JIANGSU NINGSHENG GARMENT CO.,LTD   ",FINISHED GOODS,Apparel,Nike,,JIANGSU NINGSHENG GARMENT,No87 Renmin South Road Zhutang Town,WUXI,Jiangsu,214415,N ASIA,73,69,79,0,China
DELTA TEXTILE BULGARIA LTD.,FINISHED GOODS,Apparel,Converse,Collegiate,DELTA,71 Tutrakan Blvd,ROUSSE,Ruse,7009,EMEA,451,342,78,0,Bulgaria
"Worldon Vietnam Co., Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,SHENZHOU,Hoa Phu Commune Cu Chi District,Ho Chi Minh,Ho Chi Minh,70000,SE ASIA,6716,6164,83,0,Vietnam
"HUIZHOU YANGMING INDUSTRIAL CO., LTD.",FINISHED GOODS,Apparel,Converse,,PT MAP,1 Xiaozhongtang 1st Road,HuiZhou,Guangdong,516001,N ASIA,60,40,66,0,China
Jade textile Ismailia S.A.E,FINISHED GOODS,Apparel,Nike,,YESIM,200 acres El Mostakbel Are Ismailia public Free Zone,Ismailia,AI Isma iliyah,41622,EMEA,3161,1969,34,3,Egypt
"Thuan Phuong Embroideries Garments Co., Ltd.",FINISHED GOODS,Apparel,Nike,,THUAN PHUONG,275 Nguyen Van Luong St Dist 6 HCMC,Ho Chi Minh City,Ho Chi Minh,700000,SE ASIA,1355,1048,51,0,Vietnam
FAR EASTERN,MATERIALS,Apparel,Nike,Collegiate,FAR EASTERN,No  1 Guojian 2nd Road,Taoyuan,Taoyuan,328,N ASIA,271,175,38,67,Taiwan
PT Dayup Indo,FINISHED GOODS,Equipment,Nike,Collegiate,DAYUP,NUSANTARA BONDED ZONE KBN MADURA STREET 6 BLOCK D13A,JAKARTA,Jakarta Raya,14140,S ASIA,1257,1184,94,0,Indonesia
Marchon Italia Srl a SU,FINISHED GOODS,Equipment,Nike,,MARCHON,V.le Alpago 151,Alpago,Belluno,32016,EMEA,295,153,59,0,Italy
"Hi-Tech Apparel Cambodia Co., Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,A35 36 Poipet ONeang Special EcoZone,Poipet,Banteay Mean Chey,010902,SE ASIA,3046,2437,68,1,Cambodia
NV Apparel Company Limited,FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,Lot C1 Binh Hoa Industrial Zone Chau Thanh An Giang,An Giang,An Giang,90000,SE ASIA,2761,2671,78,0,Vietnam
"ECLAT FABRIC CO., LTD.",MATERIALS,Apparel,Nike,,ECLAT,My Xuan A2 Industrial Zone,Ba Ria-Vung Tau,Bà Ra - Vung Tàu,79000,SE ASIA,868,565,48,7,Vietnam
"COSMO VIETNAM CO.,LTD",MATERIALS,Footwear,Converse,,COSMOPOLITAN TEXTILE,Factory 02 and 03  Lot 19 Road 15B Tan Duc Industrial Park,Duc Hoa Dist,Long An,82724,SE ASIA,155,54,20,0,Vietnam
UN-AVAILABLE CO. LTD.,FINISHED GOODS,Apparel,Nike,,UN AVAILABLE,Part of Lot 1 bar 3 Street No 7,Ho Chi Minh City,Ho Chi Minh,71914,SE ASIA,573,453,63,1,Vietnam
PETTENATI CENTRO AMERICA S.A. DE C.V.,MATERIALS,Apparel,Nike,,PETTENATI,Km 42 Carretera A Santa Ana,Coatepeque,Santa Ana,2204,AMERICAS,850,760,20,1,El Salvador
VEGA BALLS MANUFACTURING,FINISHED GOODS,Equipment,Nike,Collegiate,VEGA BALL,653 Mu4 Soi E6 Phatthana 1Road,Mueang Samut Prakan District,Samut Prakan,10280,SE ASIA,347,330,75,0,Thailand
MAPLE COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,,RAMATEX,No 120 Road No 14 VSIP Hai Phong Township,Hai Phong City,Hai Phong,04000,SE ASIA,2599,2232,72,0,Vietnam
"Hoosier Manufacturing, Compania Limitada",FINISHED GOODS,Apparel,Nike,Collegiate,INDIANA KNITWEAR,18 Avenida 37-39 Zona 12,Guatemala,Guatemala,01000,AMERICAS,446,436,57,0,Guatemala
TAG TIME,FINISHED GOODS - COMPONENTS,Apparel,Nike,,TAG TIME,NO 1 CHONGDE ROAD CUNTOU VILLAGE,Dongguan,Guangdong,523468,N ASIA,86,66,1,0,China
STANWELL-EXPAN CO. LTD,FINISHED GOODS - COMPONENTS,Footwear,Nike,,STANWELL-EXPAN,No 8 Dinghu 9th St Gueishan,Taoyuan,Taoyuan,333,N ASIA,289,147,48,7,Taiwan
ShangGao Yisen Industry Co. Ltd.,FINISHED GOODS,Footwear,Nike,,POU CHEN,Youzidong Jingjiang Town ShangGao County YiChun City,YiChun,Jiangxi,336400,N ASIA,7832,6277,87,0,China
"Haian Textile Printing & Dyeing (Fuqing) Co.,Ltd.",MATERIALS,Footwear,Converse,,HAIAN,Jiangyin Industrial Zone,Fuqing,Fujian,350313,N ASIA,43,33,26,0,China
SAMBU FINE CHEMICAL CO LTD (INDONESIA),MATERIALS,Footwear,Nike,,SAMBU FINE CHEMICAL,Jl Kenari Raya Blok G2 12B Delta Silicon V,Kabupaten Bekasi,Jawa Barat,17530,S ASIA,55,37,6,22,Indonesia
"Yumei Shantou Garments Co., Ltd",FINISHED GOODS,Apparel,Nike,,EAGLE NICE,No 48 Heng Shan Rd,Shantou,Guangdong,515000,N ASIA,2415,1955,80,0,China
GOLD LONG JOHN (TR1) (TAIWAN),MATERIALS,Footwear,Nike,,GOLD LONG JOHN,NO350  Fuxing Rd  Beidou Township,Changhua,Changhua,52147 / 51341,N ASIA,580,232,40,13,Taiwan
"LUCKYTEX SOC TRANG VIETNAM CO., LTD",FINISHED GOODS,Apparel,Nike,,TUNTEX,LOT H AN NGHIEP INDUSTRIAL ZONE AN HIEP  WARD,Soc Trang,Sóc Trang,960000,SE ASIA,972,800,75,0,Vietnam
"Zhangjiagang New HuaYuan Accessones Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,HUAYUAN ACCESSORIES,No 1 Henan Road Tangshi Office Yangshe Town,Zhangjiagang,Jiangsu,215600,N ASIA,97,86,83,0,China
Style Raiwind,FINISHED GOODS,Apparel,Nike,Collegiate,STYLE TEXTILE,8 Km Off Manga Raiwind Road,Kasur,Punjab,55140,S ASIA,13400,12057,18,0,Pakistan
LONGWELL COMPANY LTD.,FINISHED GOODS,Footwear,Nike,,DEAN SHOES,"Dau Giay Industrial Park,",Huyen Thong Nhat,Ðng Nai,81000,SE ASIA,4451,4152,90,0,Vietnam
TKG TAEKWNG BINH PHUOC COMPANY LIMITED,FINISHED GOODS - COMPONENTS,Footwear,Nike,,TAEKWANG,Lot E1 E2 Minh Hung Korea Industrial Park,Chon Than Townlet,Bình Phuc,83000,SE ASIA,1762,1548,77,0,Vietnam
Pine Tree Company for Textile Manufacturing PSC,FINISHED GOODS,Apparel,Nike,,RAMATEX,AL MUWAQQAR INDUSTRIAL ESTATE,AMMAN,Amman,110109,EMEA,2319,2070,69,73,Jordan
YOUNGIL (VIETNAM),MATERIALS,Footwear,Nike,,YOUNGIL LEATHER,LOT A6 1 4 THANH THANH CONG IP AN HOA WARD,TRANG BANG,Tây Ninh,843300,SE ASIA,1137,1010,36,0,Vietnam
"ACE Accessories Co., Ltd.",FINISHED GOODS,Equipment,Nike,,ACE ACCESSORIES,3F Nr 190 Gongye 9th Rd Dali Dist,TAICHUNG,Taichung,412037,N ASIA,79,44,86,30,Taiwan
SELF MAGLIERIA SRL,FINISHED GOODS,Apparel,Nike,,SELF MAGLIERIA,VIA RISORGIMENTO 48,Vertemate con Minoprio,Como,22070,EMEA,32,29,93,0,Italy
Shao Yang County SteIIa Footwear LTD ,FINISHED GOODS,Footwear,Nike,Collegiate,STELLA,Inside the industrial park of Shao Yang County,Shaoyang,Hunan,422100,N ASIA,1219,1131,96,0,China
"Zhangpu Hengxin Bags Co., Ltd",FINISHED GOODS,Apparel,Nike,,ZHANGPU HENGXIN,NO 87 Changfa Road Changqiao Town Zhangpu,Zhangzhou,Fujian,363200,N ASIA,191,170,96,0,China
"Fujian San Feng Footwear Co.,Ltd",FINISHED GOODS,Footwear,Nike,,FENG TAY,"No. 399, ChengMen Street, ChengMen Town, CangShan Districts",Fuzhou,Fujian,350018,N ASIA,3457,2827,84,0,China
"Brandix Apparel Solutions (Pvt) Limited – Essentials, Koggala",FINISHED GOODS,Apparel,Nike,,BRANDIX ASIA HOLDINGS,"No 27, Export processing zone",Koggala,Galle,80630,S ASIA,1165,1022,84,0,Sri Lanka
Song Hong Garment JSC - Factory 15.16.17.18,FINISHED GOODS,Apparel,Nike,,SONG HONG,Nghia Thai Industrial Zone Nghia Hung District,Nam Dinh/ Nam Dinh,Nam Ðnh,420000,SE ASIA,2020,1600,80,0,Vietnam
"COSMO TEXTILE CO.,LTD(KNITTING/WOVEN CHINA)",MATERIALS,Footwear,Nike,,COSMOPOLITAN TEXTILE,THE THIRD INDUSTRIAL ESTATE,Dongguan,Guangdong,523159,N ASIA,164,115,30,0,China
TORAY SAKAI CO. LTD.,MATERIALS,Apparel,Nike,,TORAY,301 Ruixing Road,Nantong,Jiangsu,226009,N ASIA,1500,1200,40,0,China
HAYLEYS FABRIC PLC ,MATERIALS,Apparel,Nike,,MAS HOLDINGS,Nartupana Estate,Neboda,Kalutara,12030,S ASIA,1667,1236,12,0,Sri Lanka
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,FINISHED GOODS,Equipment,Nike,,ANHUI COSMO,"Economic Development Zone, Jinzhai County",Lu an,Anhui,237321,N ASIA,357,320,95,0,China
"Dongguan Ye Ji Industrial Co., Ltd.",FINISHED GOODS,Apparel,Nike,,CRYSTAL,Room 101 No3 Building No112 Chang Huang Road,DONGGUAN CITY,Guangdong,523570,N ASIA,844,735,63,0,China
"TMVN MANUFACTURING CO.,LTD",FINISHED GOODS,Apparel,Nike,,PAN PACIFIC,Giao Cu Trung village Dong Son commune Nam Truc district,Nam Dinh,Nam Ðnh,07000,SE ASIA,1903,1779,94,0,Vietnam
"NAN YANG GARMENT CO., LTD.",FINISHED GOODS,Apparel,Nike,Collegiate,NAN YANG,27 Phetkasem Rd,Nongkham,Bangkok,10160,SE ASIA,1130,945,66,70,Thailand
BAIKSAN (TR1) (INDONESIA),MATERIALS,Footwear,Nike,,BAIKSAN,JL  BUMI MAS I NO 7 KAWASAN INDUSTRI DAN PERGUDANGAN,Tangerang Banten,Banten,15710,S ASIA,392,340,17,0,Indonesia
Maxpro Sports Manufacturing Inc.,FINISHED GOODS,Equipment,Nike,,MAXPRO,Phil Bright Corp Lot 1 Block 8,Bataan,Bataan,2111,N ASIA,248,213,44,0,Philippines
Hoosier Manufacturing,FINISHED GOODS,Apparel,Nike,Collegiate,INDIANA KNITWEAR,Calzada concepcion 5ta calle 5 26 Zona 6 Ofi,Villa Nueva,Guatemala,01064,AMERICAS,3422,3091,63,0,Guatemala
"United Creation Optical Technology Co., Ltd",FINISHED GOODS,Equipment,Nike,,UNITED CREATION,D2 2 Mingde Road Glasses Industrial Park Yujiang District,Yingtan,Jiangxi,335200,N ASIA,386,247,100,0,China
"TEXTURERIAS, S.A. DE C.V.",FINISHED GOODS,Apparel,Nike,,TEXTURERIAS,MARIANO ABASOLO 206,Santiago Tianguistenco,México,52600,AMERICAS,285,273,52,0,Mexico
"Branch of Thuan Phuong Embroideries Garments Co.,Ltd - Binh Chanh Factory",FINISHED GOODS,Apparel,Nike,,THUAN PHUONG,191 Dinh Duc Thien Street,Binh Chanh District,Ho Chi Minh,700000,SE ASIA,1206,1142,77,0,Vietnam
MILTEKS TEXTILE EGYPT,FINISHED GOODS,Apparel,Nike,,MILTEKS,6th of October Industrial zone 2 street 39 no226,Cairo,AI Jizah,12451,EMEA,479,234,68,0,Egypt
Dong Guan New Prosperity Optical Mfy Ltd. Chang An Branch,FINISHED GOODS,Equipment,Nike,,SUN HING OPTICAL,No 43 XinFeng Road XinMin District ChangAn Town,Dongguan,Guangdong,523879,N ASIA,76,65,65,0,China
"Wenzhou Outlook Eyewear Co., Ltd",FINISHED GOODS,Equipment,Nike,,WENZHOU OUTLOOK,Number 12  Shengye Rd  Lucheng District,Wenzhou,Zhejiang,325019,N ASIA,29,20,50,0,China
"GREEN VINA CO., LTD.",FINISHED GOODS,Apparel,Nike,,GREEN TEXTILES,BINH DANG QUARTER BINH HOA WARD,THUAN AN,Bình Duong,590000,SE ASIA,486,444,81,0,Vietnam
Gold Long John (Vietnam 2nd location),MATERIALS,Footwear,Nike,,GOLD LONG JOHN,Road 25B Nhon Trach 2 Industrial Zone,Nhon Trach,Da Nang-- thanh ph,815956,SE ASIA,580,476,67,3,Vietnam
"CHUAN CHENG HAT CO., LTD.",FINISHED GOODS,Apparel,Nike,Collegiate,CHUAN CHENG,No 56 Chung Shan Road,TAICHUNG,Taichung,428,N ASIA,122,103,86,17,Taiwan
